N,M,Elapsed_Time(s),FLOPs,FLOP_Rate(GFLOPs/s),Bytes_Moved,Arithmetic_Intensity(FLOP/Byte)
10,10,1e-06,200,0.2,960,0.208333
50,50,1e-06,5000,5,20800,0.240385
100,100,6e-06,20000,3.33333,81600,0.245098
250,250,4.4e-05,125000,2.84091,504000,0.248016
500,500,0.00019,500000,2.63158,2.008e+06,0.249004
1000,1000,0.00079,2e+06,2.53165,8.016e+06,0.249501
